date,event_name,ga_session_id,user_pseudo_id,transaction_id,ecommerce_value,ecommerce_currency,item_id,item_name,item_brand,item_variant,item_category,price,quantity
2026-01-06,purchase,1767692249,DF7OHP8+nlQ36o2yt1W66OxylvYZGma6FzvlXVsj6WI=.1767682517,144839,0.0,AUD,FNO06AMBE,Norden,"Warwick, WarGuard Treatment, Halo Easy Care",Amber,Upholstery,0.0,1.0
2026-01-06,purchase,1767732847,rwk2VH+Se9m7p9+4RL5TmAyfrldpqQLgdCViCJ74VSY=.1767676160,144862,0.0,AUD,FNO06TUME,Norden,"Warwick, WarGuard Treatment, Halo Easy Care",Turmeric,Upholstery,0.0,1.0
2026-01-07,purchase,1767752875,wqUdKC8FaEjbLUXPAb8ER7/lT/cXBfXsh3uSsA5NYsY=.1767620379,144898,0.0,AUD,FNO06TUME,Norden,"Warwick, WarGuard Treatment, Halo Easy Care",Turmeric,Upholstery,0.0,1.0
2026-01-07,purchase,1767752875,wqUdKC8FaEjbLUXPAb8ER7/lT/cXBfXsh3uSsA5NYsY=.1767620379,144898,0.0,AUD,FNO06ORCH,Norden,"Warwick, WarGuard Treatment, Halo Easy Care",Orchid,Upholstery,0.0,1.0
2026-01-07,purchase,1767752875,wqUdKC8FaEjbLUXPAb8ER7/lT/cXBfXsh3uSsA5NYsY=.1767620379,144898,0.0,AUD,FNO06AMBE,Norden,"Warwick, WarGuard Treatment, Halo Easy Care",Amber,Upholstery,0.0,1.0
2026-01-07,purchase,1767752875,wqUdKC8FaEjbLUXPAb8ER7/lT/cXBfXsh3uSsA5NYsY=.1767620379,144898,0.0,AUD,FNO06BRAS,Norden,"Warwick, WarGuard Treatment, Halo Easy Care",Brass,Upholstery,0.0,1.0
2026-01-07,purchase,1767769077,FXuosqjqm+AH/+r7PlCZI7DkFmVDsOOXKoD3L0IK7Og=.1767769077,144919,0.0,AUD,FNO06IVOR,Norden,"Warwick, WarGuard Treatment, Halo Easy Care",Ivory,Upholstery,0.0,1.0
2026-01-07,purchase,1767828423,ddf6r51TLjP78VGETq5V8h9dsBgzB355flpDv7KswI0=,144944,0.0,AUD,FNO06TUME,Norden,"Warwick, WarGuard Treatment, Halo Easy Care",Turmeric,Upholstery,0.0,1.0
2026-01-08,purchase,1767842244,nFr7RlWeNJ0CRXw1nJ2lAow27cHwIYMqnvQtol6e2Q4=.1739410439,144976,0.0,AUD,FNO06IVOR,Norden,"Warwick, WarGuard Treatment, Halo Easy Care",Ivory,Upholstery,0.0,1.0
2026-01-09,purchase,1767934404,Bg82lhJ1syEjNYcXUzl93dnw+/mLz5BY7leT4zrjhEo=.1752021184,145050,0.0,AUD,FNO06AMBE,Norden,"Warwick, WarGuard Treatment, Halo Easy Care",Amber,Upholstery,0.0,1.0
2026-01-11,purchase,1768104157,ddf6r51TLjP78VGETq5V8h9dsBgzB355flpDv7KswI0=,145124,0.0,AUD,FNO06BRAS,Norden,"Warwick, WarGuard Treatment, Halo Easy Care",Brass,Upholstery,0.0,1.0
2026-01-11,purchase,1768104157,ddf6r51TLjP78VGETq5V8h9dsBgzB355flpDv7KswI0=,145124,0.0,AUD,FNO06SCAR,Norden,"Warwick, WarGuard Treatment, Halo Easy Care",Scarlet,Upholstery,0.0,1.0
2026-01-11,purchase,1768104157,ddf6r51TLjP78VGETq5V8h9dsBgzB355flpDv7KswI0=,145124,0.0,AUD,FNO06TUME,Norden,"Warwick, WarGuard Treatment, Halo Easy Care",Turmeric,Upholstery,0.0,1.0
2026-01-11,purchase,1768104157,ddf6r51TLjP78VGETq5V8h9dsBgzB355flpDv7KswI0=,145124,0.0,AUD,FNO06OLIV,Norden,"Warwick, WarGuard Treatment, Halo Easy Care",Olive,Upholstery,0.0,1.0
2026-01-11,purchase,1768104157,ddf6r51TLjP78VGETq5V8h9dsBgzB355flpDv7KswI0=,145124,0.0,AUD,FNO06AMBE,Norden,"Warwick, WarGuard Treatment, Halo Easy Care",Amber,Upholstery,0.0,1.0
2026-01-11,purchase,1768106948,+B91BwATp8TsU9Lg0U3OnWRk1NF0OjxcSUCXe7JaHOc=.1768094923,145134,0.0,AUD,FNO06ORCH,Norden,"Warwick, WarGuard Treatment, Halo Easy Care",Orchid,Upholstery,0.0,1.0
2026-01-12,purchase,1768175043,Ln5U3brjxwTZjLKTJc7o0n/lgLs47xBgmJO/7zz/veI=.1768175044,145194,0.0,AUD,FNO06AMBE,Norden,"Warwick, WarGuard Treatment, Halo Easy Care",Amber,Upholstery,0.0,1.0
2026-01-12,purchase,1768200769,YjKXJdviT31R2RmmZEGOdETebYjmo9ZxWPuBoKJfR84=.1766113462,145259,0.0,AUD,FNO06BRAS,Norden,"Warwick, WarGuard Treatment, Halo Easy Care",Brass,Upholstery,0.0,1.0
2026-01-14,purchase,1768353692,yMdJ51K7zKyU5GERTbnup99LanCAmjkM+5r+YnS2O7Y=.1768353693,145452,0.0,AUD,FNO06CHAR,Norden,"Warwick, WarGuard Treatment, Halo Easy Care",Charcoal,Upholstery,0.0,1.0
2026-01-14,purchase,1768363231,hZ1pnYvj/eIS/FX+r89x+Y95nZR2ORvaT3LI7IHOtg8=.1768363232,145481,0.0,AUD,FNO06AMBE,Norden,"Warwick, WarGuard Treatment, Halo Easy Care",Amber,Upholstery,0.0,1.0
2026-01-14,purchase,1768361312,/+rJhs+sPUoKIymco5waRzN8qKeV7qfKtH/tzBK5/7M=.1763434537,145484,0.0,AUD,FNO06OLIV,Norden,"Warwick, WarGuard Treatment, Halo Easy Care",Olive,Upholstery,0.0,1.0
2026-01-20,purchase,1768900173,iKTYylAKYd0DZWsnEttiz3ahiF47vdYyv8/0gHobHpY=.1767052601,146044,0.0,AUD,FNO06CHAR,Norden,"Warwick, WarGuard Treatment, Halo Easy Care",Charcoal,Upholstery,0.0,1.0
2026-01-20,purchase,1768900173,iKTYylAKYd0DZWsnEttiz3ahiF47vdYyv8/0gHobHpY=.1767052601,146044,0.0,AUD,FNO06CHER,Norden,"Warwick, WarGuard Treatment, Halo Easy Care",Cherry,Upholstery,0.0,1.0
2026-01-20,purchase,1768902495,ddf6r51TLjP78VGETq5V8h9dsBgzB355flpDv7KswI0=,146045,0.0,AUD,FNO06TUME,Norden,"Warwick, WarGuard Treatment, Halo Easy Care",Turmeric,Upholstery,0.0,1.0
2026-01-21,purchase,1768984878,aaKirFtPVK7bND1sARzbNEN3rijhhkgxkcvQC4Rn6W0=.1768984878,146175,0.0,AUD,FNO06GREY,Norden,"Warwick, WarGuard Treatment, Halo Easy Care",Grey,Upholstery,0.0,1.0
2026-01-21,purchase,1769035482,mj2eDokq/dqba9pC3U8v9kuDNWL1uk+6IqexAphXLr0=.1769035482,146215,0.0,AUD,FNO06SEAF,Norden,"Warwick, WarGuard Treatment, Halo Easy Care",Seafoam,Upholstery,0.0,1.0
2026-01-21,purchase,1769035482,mj2eDokq/dqba9pC3U8v9kuDNWL1uk+6IqexAphXLr0=.1769035482,146215,0.0,AUD,FNO06BRAS,Norden,"Warwick, WarGuard Treatment, Halo Easy Care",Brass,Upholstery,0.0,1.0
2026-01-22,purchase,1769075925,ba7JY++t4JqdFvHv2NjK2MLq0jHpE9xrUh9BGol6I+E=.1768989755,146309,0.0,AUD,FNO06OLIV,Norden,"Warwick, WarGuard Treatment, Halo Easy Care",Olive,Upholstery,0.0,1.0
2026-01-24,purchase,1769219016,MM/g80oqCpGTAI/h1J5jB6aGW8f7DDFwyPGlsJjGbI0=.1769219017,146434,0.0,AUD,FNO06SCAR,Norden,"Warwick, WarGuard Treatment, Halo Easy Care",Scarlet,Upholstery,0.0,1.0
