Metric,Point Estimate (%),Lower 95% CI (%),Upper 95% CI (%),CI Width (pp),Bootstrap SE (%)
Both,82.62573481384716,82.08974877024352,83.15873788800619,1.0689891177626691,0.27526574918930297
Sst-Only,9.835619420857828,9.389647185667092,10.296499206288209,0.9068520206211161,0.23586778674511039
Direct-Only,7.538645765295014,7.189951353612937,7.864620057493085,0.6746687038801484,0.1771324567193981
