sst_ts,direct_ts,diff_seconds,device,country
1767660831000000,1767660831467181,0.467181,desktop,Australia
1767660846000000,1767660846302696,0.302696,desktop,Australia
1767660872000000,1767660871879810,-0.12019,desktop,Australia
1767660875000000,1767660875382002,0.382002,desktop,Australia
1767660889000000,1767660889147090,0.14709,desktop,Australia
1767660894000000,1767660893553923,-0.446077,desktop,Australia
1767660895000000,1767660894441548,-0.558452,mobile,Australia
1767660938000000,1767660937210105,-0.789895,desktop,Australia
1767660961000000,1767660961124283,0.124283,desktop,Australia
1767660966000000,1767660966347691,0.347691,desktop,Australia
1767660993000000,1767660993099550,0.09955,desktop,Australia
1767661078000000,1767661077957698,-0.042302,mobile,Australia
1767661081000000,1767661081404651,0.404651,desktop,Australia
1767661090000000,1767661090290065,0.290065,desktop,Australia
1767661106000000,1767661105893982,-0.106018,desktop,Australia
1767661109000000,1767661108802179,-0.197821,desktop,Australia
1767661109000000,1767661108802179,-0.197821,desktop,Australia
1767661121000000,1767661120610753,-0.389247,desktop,Australia
1767661130000000,1767661129686212,-0.313788,desktop,Australia
1767661131000000,1767661131214003,0.214003,desktop,Australia
1767661174000000,1767661173884846,-0.115154,desktop,Australia
1767661317000000,1767661317104986,0.104986,desktop,Australia
1767661355000000,1767661354942254,-0.057746,desktop,Australia
1767661364000000,1767661363770326,-0.229674,mobile,Australia
1767661403000000,1767661403166940,0.16694,desktop,Australia
1767661439000000,1767661438470869,-0.529131,desktop,Australia
1767661469000000,1767661468959692,-0.040308,desktop,Australia
1767661471000000,1767661472506201,1.506201,mobile,Australia
1767661495000000,1767661494375294,-0.624706,desktop,Australia
1767661518000000,1767661517939424,-0.060576,desktop,Australia
1767661528000000,1767661527889769,-0.110231,mobile,Australia
1767661557000000,1767661556836244,-0.163756,desktop,Australia
1767661579000000,1767661578700321,-0.299679,desktop,Australia
1767661595000000,1767661594605209,-0.394791,desktop,Australia
1767661637000000,1767661637454109,0.454109,mobile,Australia
1767661671000000,1767661671435788,0.435788,mobile,Australia
1767661681000000,1767661680848969,-0.151031,mobile,Australia
1767661704000000,1767661703706436,-0.293564,desktop,Australia
1767661718000000,1767661717395051,-0.604949,desktop,Australia
1767661727000000,1767661726562921,-0.437079,desktop,Australia
1767661806000000,1767661806983306,0.983306,desktop,Australia
1767661848000000,1767661847711371,-0.288629,desktop,Australia
1767661891000000,1767661890568717,-0.431283,desktop,Australia
1767661902000000,1767661901464402,-0.535598,desktop,Australia
1767661913000000,1767661912360903,-0.639097,desktop,United States
1767661924000000,1767661924058847,0.058847,desktop,Australia
1767661944000000,1767661944510232,0.510232,desktop,Australia
1767661956000000,1767661955335500,-0.6645,desktop,Japan
1767661961000000,1767661944510232,-16.489768,desktop,Australia
1767662007000000,1767662007404724,0.404724,desktop,Australia
1767662067000000,1767662066533573,-0.466427,desktop,Australia
1767662133000000,1767662132772475,-0.227525,desktop,Australia
1767662148000000,1767662147837485,-0.162515,desktop,South Korea
1767662184000000,1767662183800577,-0.199423,desktop,Australia
1767662199000000,1767662198219177,-0.780823,desktop,United States
1767662224000000,1767662223787979,-0.212021,desktop,Australia
1767662229000000,1767662229144055,0.144055,desktop,Australia
1767662234000000,1767662236052474,2.052474,mobile,Australia
1767662264000000,1767662263600763,-0.399237,desktop,Singapore
1767662277000000,1767662276660829,-0.339171,tablet,Australia
1767662307000000,1767662307088835,0.088835,desktop,Australia
1767662367000000,1767662366980162,-0.019838,mobile,Australia
1767662421000000,1767662420475534,-0.524466,desktop,Australia
1767662428000000,1767662427936084,-0.063916,desktop,Australia
1767662436000000,1767662436174166,0.174166,desktop,Australia
1767662451000000,1767662450988968,-0.011032,mobile,Australia
1767662453000000,1767662452753071,-0.246929,desktop,Australia
1767662513000000,1767662512827712,-0.172288,desktop,Australia
1767662528000000,1767662528019939,0.019939,desktop,Australia
1767662533000000,1767662532749621,-0.250379,mobile,Australia
1767662545000000,1767662544564708,-0.435292,desktop,Australia
1767662555000000,1767662555127274,0.127274,desktop,Australia
1767662589000000,1767662588848142,-0.151858,desktop,Australia
1767662614000000,1767662613367204,-0.632796,desktop,Australia
1767662620000000,1767662620086306,0.086306,mobile,Australia
1767662642000000,1767662641519209,-0.480791,desktop,Australia
1767662659000000,1767662660533532,1.533532,desktop,China
1767662675000000,1767662674035250,-0.96475,desktop,Australia
1767662711000000,1767662709551032,-1.448968,desktop,Australia
1767662721000000,1767662720614849,-0.385151,mobile,Australia
1767662741000000,1767662741192206,0.192206,desktop,Australia
1767662767000000,1767662767246362,0.246362,mobile,Australia
1767662769000000,1767662769318914,0.318914,desktop,Fiji
1767662780000000,1767662779604575,-0.395425,desktop,China
1767662789000000,1767662788828872,-0.171128,desktop,Australia
1767662792000000,1767662791701266,-0.298734,desktop,Australia
1767662804000000,1767662803996376,-0.003624,desktop,Australia
1767662814000000,1767662813740169,-0.259831,desktop,Australia
1767662839000000,1767662838351539,-0.648461,desktop,China
1767662841000000,1767662841171096,0.171096,mobile,Australia
1767662844000000,1767662845655047,1.655047,desktop,China
1767662853000000,1767662853242685,0.242685,desktop,Australia
1767662860000000,1767662859909536,-0.090464,desktop,Australia
1767662878000000,1767662877575749,-0.424251,mobile,Vietnam
1767662901000000,1767662900149610,-0.85039,desktop,China
1767662907000000,1767662906816096,-0.183904,desktop,Vietnam
1767662936000000,1767662935988385,-0.011615,desktop,Australia
1767662969000000,1767662969747760,0.74776,desktop,China
1767662993000000,1767662993020905,0.020905,mobile,Australia
1767663021000000,1767663021553953,0.553953,mobile,Australia
1767663035000000,1767663034600534,-0.399466,desktop,Australia
1767663046000000,1767663045874090,-0.12591,desktop,Hong Kong
1767663056000000,1767663056385194,0.385194,mobile,Australia
1767663093000000,1767663093795786,0.795786,desktop,China
1767663102000000,1767663093795786,-8.204214,desktop,China
1767663105000000,1767663104649920,-0.35008,desktop,Australia
1767663157000000,1767663156548422,-0.451578,desktop,Australia
1767663157000000,1767663093795786,-63.204214,desktop,China
1767663158000000,1767663158217856,0.217856,desktop,Australia
1767663162000000,1767663161369580,-0.63042,desktop,Japan
1767663162000000,1767663162156366,0.156366,mobile,Australia
1767663171000000,1767663171441666,0.441666,desktop,Australia
1767663194000000,1767663194250729,0.250729,desktop,Australia
1767663256000000,1767663255010453,-0.989547,desktop,China
1767663269000000,1767663268863460,-0.13654,mobile,Australia
1767663316000000,1767663316619023,0.619023,mobile,Australia
1767663318000000,1767663317908765,-0.091235,desktop,Australia
1767663324000000,1767663323593316,-0.406684,desktop,Fiji
1767663345000000,1767663343953744,-1.046256,desktop,Japan
1767663363000000,1767663363326099,0.326099,desktop,Australia
1767663389000000,1767663388668254,-0.331746,desktop,Australia
1767663454000000,1767663453955033,-0.044967,desktop,Australia
1767663467000000,1767663467373095,0.373095,desktop,Australia
1767663519000000,1767663519178677,0.178677,desktop,Australia
1767663523000000,1767663523149277,0.149277,mobile,Australia
1767663545000000,1767663545102137,0.102137,desktop,Australia
1767663561000000,1767663560589717,-0.410283,desktop,Australia
1767663599000000,1767663598409850,-0.59015,desktop,Australia
1767663634000000,1767663633474224,-0.525776,desktop,Australia
1767663643000000,1767663643462981,0.462981,desktop,Australia
1767663657000000,1767663656663699,-0.336301,desktop,Australia
1767663670000000,1767663669589110,-0.41089,desktop,Australia
1767663682000000,1767663682618618,0.618618,desktop,Australia
1767663694000000,1767663693578445,-0.421555,desktop,Australia
1767663697000000,1767663697205773,0.205773,desktop,Australia
1767663728000000,1767663728091074,0.091074,mobile,Australia
1767663729000000,1767663729112071,0.112071,desktop,Australia
1767663772000000,1767663772385358,0.385358,desktop,Australia
1767663790000000,1767663789718740,-0.28126,desktop,Australia
1767663837000000,1767663585750954,-251.249046,desktop,China
1767663843000000,1767663843442019,0.442019,desktop,Australia
1767663903000000,1767663903236226,0.236226,desktop,Australia
1767663909000000,1767663908853253,-0.146747,desktop,Australia
1767663996000000,1767663994881113,-1.118887,desktop,Japan
1767664006000000,1767664005859170,-0.14083,desktop,Australia
1767664049000000,1767664049039715,0.039715,desktop,Australia
1767664050000000,1767664049958816,-0.041184,desktop,Australia
1767664061000000,1767664060677701,-0.322299,desktop,Vietnam
1767664067000000,1767664067490410,0.49041,desktop,Australia
1767664073000000,1767664073131919,0.131919,mobile,Australia
1767664083000000,1767664083640239,0.640239,desktop,Australia
1767664110000000,1767664109515942,-0.484058,desktop,Australia
1767664114000000,1767664113964399,-0.035601,desktop,Australia
1767664123000000,1767664122198484,-0.801516,mobile,Indonesia
1767664163000000,1767664164302916,1.302916,desktop,Australia
1767664174000000,1767664174306007,0.306007,mobile,Australia
1767664233000000,1767664232637268,-0.362732,desktop,Australia
1767664339000000,1767664338937970,-0.06203,desktop,Australia
1767664343000000,1767664342629166,-0.370834,desktop,Australia
1767664369000000,1767664369058659,0.058659,desktop,Australia
1767664378000000,1767664378008323,0.008323,desktop,Australia
1767664404000000,1767664404330603,0.330603,desktop,Australia
1767664420000000,1767664419464604,-0.535396,desktop,Australia
1767664429000000,1767664429333544,0.333544,desktop,Australia
1767664439000000,1767664438667074,-0.332926,desktop,Australia
1767664469000000,1767664468431844,-0.568156,desktop,South Korea
1767664482000000,1767664482083581,0.083581,desktop,Australia
1767664483000000,1767664483251264,0.251264,desktop,Australia
1767664502000000,1767664502301302,0.301302,mobile,Australia
1767664517000000,1767664516423003,-0.576997,desktop,Vietnam
1767664590000000,1767664590407785,0.407785,tablet,Australia
1767664633000000,1767664632631374,-0.368626,desktop,Australia
1767664717000000,1767664716988127,-0.011873,desktop,Australia
1767664732000000,1767664732295227,0.295227,desktop,Australia
1767664741000000,1767664741661849,0.661849,mobile,Australia
1767664741000000,1767664740638674,-0.361326,desktop,Australia
1767664770000000,1767664770017505,0.017505,desktop,Thailand
1767664812000000,1767664812215492,0.215492,desktop,Australia
1767664814000000,1767664813521940,-0.47806,desktop,New Zealand
1767664898000000,1767664897553856,-0.446144,desktop,Australia
1767664909000000,1767664908719380,-0.28062,desktop,Australia
1767664918000000,1767664918053373,0.053373,desktop,Australia
1767664967000000,1767664967352839,0.352839,desktop,Australia
